horse_num,oriental_1,oriental_2,oriental_3,oriental_sum,apple_1,apple_2,apple_3,apple_sum,pro_1,pro_2,pro_3,pro_sum,total_1,total_2,total_3,total_sum,w_h_odd,s_b_odd,result,file_name,sheet_name,W.H. FixOdd 60,S.B.Fix Odd 60
11,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,26,27,0.0,M2018-04-29D,Race(1),,
1,0,5,7,12,0,8,5,13,1,0,8,9,1,13,20,34,14,14,0.0,M2018-04-29D,Race(10),,
2,16,5,2,23,14,5,4,23,9,9,5,23,39,19,11,69,3.9,3.9,0.0,M2018-04-29D,Race(10),,
3,9,2,6,17,7,12,2,21,12,9,1,22,28,23,9,60,8,8,0.0,M2018-04-29D,Race(10),,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0,M2018-04-29D,Race(10),,
5,0,2,8,10,0,2,4,6,1,3,4,8,1,7,16,24,3.9,4,3.0,M2018-04-29D,Race(10),,
6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,17,18,0.0,M2018-04-29D,Race(10),,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,67,0.0,M2018-04-29D,Race(10),,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,46,0.0,M2018-04-29D,Race(10),,
9,0,16,5,21,8,3,7,18,2,2,4,8,10,21,16,47,4.8,4.8,1.0,M2018-04-29D,Race(10),,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,2.0,M2018-04-29D,Race(10),,
11,2,0,2,4,1,0,8,9,1,3,2,6,4,3,12,19,14,15,0.0,M2018-04-29D,Race(10),,
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,0.0,M2018-04-29D,Race(10),,
13,3,0,0,3,0,0,0,0,0,0,1,1,3,0,1,4,51,46,0.0,M2018-04-29D,Race(10),,
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0,M2018-04-29D,Race(10),,
1,2,5,0,7,8,0,0,8,2,0,1,3,12,5,1,18,12,11,0.0,M2018-04-29D,Race(2),,
2,3,0,3,6,5,9,4,18,6,10,4,20,14,19,11,44,6.5,6.5,3.0,M2018-04-29D,Race(2),,
3,3,0,0,3,0,0,0,0,0,1,0,1,3,1,0,4,19,19,0.0,M2018-04-29D,Race(2),,
4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,26,27,0.0,M2018-04-29D,Race(2),,
5,2,8,3,13,2,2,2,6,0,3,4,7,4,13,9,26,5,5,2.0,M2018-04-29D,Race(2),,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,201,0.0,M2018-04-29D,Race(2),,
7,2,0,2,4,0,8,2,10,1,1,1,3,3,9,5,17,12,12,0.0,M2018-04-29D,Race(2),,
8,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,21,21,0.0,M2018-04-29D,Race(2),,
9,2,3,3,8,0,0,0,0,0,0,0,0,2,3,3,8,17,17,0.0,M2018-04-29D,Race(2),,
10,3,0,0,3,0,0,0,0,0,0,1,1,3,0,1,4,21,21,1.0,M2018-04-29D,Race(2),,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0.0,M2018-04-29D,Race(2),,
12,8,4,10,22,13,6,3,22,15,5,1,21,36,15,14,65,3.5,3.6,0.0,M2018-04-29D,Race(2),,
13,2,6,4,12,2,4,11,17,2,4,10,16,6,14,25,45,7,7,0.0,M2018-04-29D,Race(2),,
14,0,4,5,9,0,1,8,9,0,2,3,5,0,7,16,23,16,16,0.0,M2018-04-29D,Race(2),,
1,0,0,5,5,0,8,0,8,0,0,0,0,0,8,5,13,26,26,0.0,M2018-04-29D,Race(3),,
2,2,8,2,12,8,5,3,16,1,6,2,9,11,19,7,37,15,15,3.0,M2018-04-29D,Race(3),,
3,16,4,7,27,13,6,3,22,10,8,5,23,39,18,15,72,3,3,0.0,M2018-04-29D,Race(3),,
4,0,10,3,13,4,0,11,15,7,2,12,21,11,12,26,49,6,6,0.0,M2018-04-29D,Race(3),,
5,12,3,10,25,5,11,2,18,7,7,2,16,24,21,14,59,3.3,3.3,2.0,M2018-04-29D,Race(3),,
6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,11,11,0.0,M2018-04-29D,Race(3),,
7,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,21,21,0.0,M2018-04-29D,Race(3),,
8,0,0,0,0,0,0,8,8,0,0,1,1,0,0,9,9,26,27,0.0,M2018-04-29D,Race(3),,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0.0,M2018-04-29D,Race(3),,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0.0,M2018-04-29D,Race(3),,
11,0,3,0,3,0,0,0,0,0,2,0,2,0,5,0,5,26,27,0.0,M2018-04-29D,Race(3),,
12,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,26,26,1.0,M2018-04-29D,Race(3),,
13,0,2,0,2,0,0,0,0,0,1,2,3,0,3,2,5,13,13,0.0,M2018-04-29D,Race(3),,
14,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,91,91,0.0,M2018-04-29D,Race(3),,
1,7,7,5,19,5,8,5,18,8,7,7,22,20,22,17,59,4.6,4.6,0.0,M2018-04-29D,Race(4),,
2,2,0,0,2,2,0,1,3,0,0,1,1,4,0,2,6,16,15,0.0,M2018-04-29D,Race(4),,
3,3,10,5,18,8,5,0,13,1,3,2,6,12,18,7,37,7.5,7.5,3.0,M2018-04-29D,Race(4),,
4,5,5,7,17,6,2,3,11,5,7,3,15,16,14,13,43,5.5,5.5,0.0,M2018-04-29D,Race(4),,
5,0,0,3,3,0,0,2,2,0,0,1,1,0,0,6,6,21,21,2.0,M2018-04-29D,Race(4),,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,0.0,M2018-04-29D,Race(4),,
7,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,34,34,0.0,M2018-04-29D,Race(4),,
8,2,3,0,5,0,2,2,4,0,2,3,5,2,7,5,14,17,17,0.0,M2018-04-29D,Race(4),,
9,0,0,0,0,0,8,3,11,0,1,2,3,0,9,5,14,14,14,0.0,M2018-04-29D,Race(4),,
10,11,5,10,26,9,5,5,19,12,6,6,24,32,16,21,69,2.4,2.4,1.0,M2018-04-29D,Race(4),,
